,_player_id,_name,_height,_weight,_position,_season,_team_abbreviation,_minutes_played,_total_rebounds,_player_efficiency_rating,_field_goal_percentage,_free_throw_percentage,_two_point_percentage,_three_point_percentage,_offensive_rebounds,_assists,_turnovers,_usage_percentage,_offensive_win_shares,_defensive_rebounds,_steals,_blocks,_defensive_win_shares
jaren-lewis-1,jaren-lewis-1,Jaren Lewis,6-6,215lb,Guard-Forward,2018-19,abilene-christian,1056,208,22.2,.466,.733,.482,.333,77,93,60,25.0,2.6,131,54,22,2.4
payten-ricks-1,payten-ricks-1,Payten Ricks,6-2,190lb,Guard,2018-19,abilene-christian,1098,95,15.5,.421,.842,.478,.395,6,65,46,18.0,2.1,89,57,1,2.2
jaylen-franklin-1,jaylen-franklin-1,Jaylen Franklin,6-2,205lb,Guard,2018-19,abilene-christian,1092,126,17.7,.535,.591,.542,.450,15,166,70,18.0,2.2,111,61,8,2.3
jalone-friday-1,jalone-friday-1,Jalone Friday,6-9,235lb,Center,2018-19,abilene-christian,502,107,22.2,.473,.780,.519,.377,25,22,46,32.6,0.9,82,16,22,1.2
hayden-farquhar-1,hayden-farquhar-1,Hayden Farquhar,6-7,215lb,Forward,2018-19,abilene-christian,481,87,21.6,.500,.647,.625,.386,35,27,24,22.6,1.4,52,22,8,1.0
bj-maxwell-1,bj-maxwell-1,B.J. Maxwell,6-5,190lb,Guard,2018-19,abilene-christian,642,113,19.1,.491,.853,.584,.405,37,40,20,16.0,1.8,76,26,9,1.3
joe-pleasant-1,joe-pleasant-1,Joe Pleasant,6-8,220lb,Forward,2018-19,abilene-christian,498,89,14.5,.540,.654,.571,.286,34,10,37,21.0,0.7,55,10,5,0.9
damien-daniels-1,damien-daniels-1,Damien Daniels,5-7,140lb,Guard,2018-19,abilene-christian,510,53,9.7,.354,.808,.417,.283,12,61,32,16.1,0.3,41,20,1,0.9
trey-lenox-1,trey-lenox-1,Trey Lenox,6-3,220lb,Guard,2018-19,abilene-christian,520,41,6.0,.403,1.000,.360,.432,6,22,19,8.6,0.2,35,14,1,0.8
clay-gayman-1,clay-gayman-1,Clay Gayman,6-6,220lb,Forward,2018-19,abilene-christian,155,30,16.3,.458,.611,.483,.421,14,8,17,24.8,0.1,16,7,3,0.3
kolton-kohl-1,kolton-kohl-1,Kolton Kohl,7-0,240lb,Center,2018-19,abilene-christian,142,51,25.0,.462,.657,.462,,23,5,11,24.5,0.3,28,5,13,0.4
tobias-cameron-1,tobias-cameron-1,Tobias Cameron,6-5,210lb,Guard,2018-19,abilene-christian,84,18,8.9,.412,.667,.667,.273,7,5,8,16.4,0.0,11,2,0,0.2
chase-cobb-1,chase-cobb-1,Chase Cobb,6-1,190lb,Guard,2018-19,abilene-christian,44,4,13.4,.625,.500,1.000,.500,1,0,3,15.3,0.1,3,2,0,0.1
paul-hiepler-1,paul-hiepler-1,Paul Hiepler,6-4,170lb,Guard,2018-19,abilene-christian,26,3,8.5,.333,.667,.500,.250,1,1,1,16.9,0.0,2,1,0,0.0
lavelle-scottie-1,lavelle-scottie-1,Lavelle Scottie,6-7,225lb,Forward,2018-19,air-force,1005,178,15.9,.487,.607,.556,.297,42,42,96,29.4,0.5,136,23,8,1.0
ryan-swan-ford-1,ryan-swan-ford-1,Ryan Swan-Ford,6-7,235lb,Forward,2018-19,air-force,851,221,23.1,.538,.688,.612,.370,82,57,68,24.1,2.3,139,26,13,1.1
aj-walker-1,aj-walker-1,A.J. Walker,6-2,191lb,Guard,2018-19,air-force,841,62,11.7,.412,.703,.420,.400,4,80,48,19.7,0.8,58,25,4,0.7
christopher-joyce-1,christopher-joyce-1,Christopher Joyce,6-5,185lb,Guard,2018-19,air-force,685,106,13.3,.400,.685,.449,.350,14,51,31,20.8,0.8,92,11,5,0.7
caleb-morris-1,caleb-morris-1,Caleb Morris,6-4,185lb,Guard,2018-19,air-force,681,85,11.8,.433,.867,.541,.398,4,41,37,15.8,0.8,81,15,4,0.7
sid-tomes-1,sid-tomes-1,Sid Tomes,6-4,200lb,Guard,2018-19,air-force,743,93,6.8,.318,.560,.510,.220,6,72,29,13.8,-0.1,87,17,3,0.7
keaton-vansoelen-1,keaton-vansoelen-1,Keaton Van Soelen,6-7,190lb,Guard,2018-19,air-force,675,97,10.0,.439,.688,.519,.270,30,28,24,12.1,0.5,67,17,11,0.7
ameka-akaya-1,ameka-akaya-1,Ameka Akaya,6-6,215lb,Forward,2018-19,air-force,320,51,14.7,.588,.800,.631,.450,11,15,28,20.4,0.4,40,4,1,0.3
pervis-louder-1,pervis-louder-1,Pervis Louder,6-4,187lb,Guard,2018-19,air-force,427,49,9.6,.467,.606,.596,.242,8,31,32,17.2,0.1,41,12,7,0.4
lesean-brown-1,lesean-brown-1,LeSean Brown,6-2,185lb,Guard,2018-19,air-force,117,16,11.2,.321,.789,.375,.250,2,9,5,19.2,0.1,14,2,0,0.1
abe-kinrade-1,abe-kinrade-1,Abe Kinrade,6-7,190lb,Forward,2018-19,air-force,65,18,18.9,.444,.857,.429,.500,4,1,1,18.3,0.2,14,1,1,0.1
bryce-hughes-1,bryce-hughes-1,Bryce Hughes,6-4,195lb,Guard,2018-19,air-force,20,3,19.3,.500,.444,.500,,0,3,0,16.7,0.1,3,1,0,0.0
charles-obriant-1,charles-obriant-1,Charles O'Briant,6-8,210lb,Forward,2018-19,air-force,12,5,8.1,.600,.000,.600,,2,0,3,37.7,0.0,3,0,0,0.0
zach-couper-1,zach-couper-1,Zach Couper,6-4,205lb,Guard,2018-19,air-force,17,0,6.0,.250,1.000,1.000,.000,0,1,0,15.5,0.0,0,0,0,0.0
james-edwards-4,james-edwards-4,James Edwards,6-0,165lb,Guard,2018-19,air-force,12,0,10.6,.000,1.000,,.000,0,3,0,13.1,0.0,0,0,0,0.0
nick-rene-1,nick-rene-1,Nick Rene,6-0,180lb,Guard,2018-19,air-force,10,1,-5.3,.250,,.500,.000,1,0,1,26.7,0.0,0,0,0,0.0
isaac-monson-1,isaac-monson-1,Isaac Monson,6-9,205lb,Forward,2018-19,air-force,19,6,1.6,.000,.250,.000,,3,0,1,10.9,0.0,3,0,0,0.0
daniel-utomi-1,daniel-utomi-1,Daniel Utomi,6-6,215lb,Guard-Forward,2018-19,akron,1107,180,14.8,.403,.675,.451,.373,37,42,58,22.9,1.4,143,19,13,2.2
loren-jackson-1,loren-jackson-1,Loren Jackson,5-8,160lb,Guard,2018-19,akron,1042,93,15.4,.345,.805,.401,.300,26,102,60,25.9,1.6,67,30,5,1.8
jimond-ivey-1,jimond-ivey-1,Jimond Ivey,6-5,200lb,Guard,2018-19,akron,1077,201,18.8,.458,.783,.660,.255,50,110,63,19.6,2.2,151,41,11,2.4
tyler-cheese-1,tyler-cheese-1,Tyler Cheese,6-5,195lb,Guard,2018-19,akron,932,163,14.9,.421,.694,.473,.293,30,82,68,24.4,0.6,133,35,3,2.1
channel-banks-1,channel-banks-1,Channel Banks,6-4,186lb,Guard,2018-19,akron,678,78,11.6,.405,.586,.523,.342,13,25,28,17.1,0.5,65,31,3,1.5
deng-riak-1,deng-riak-1,Deng Riak,6-10,225lb,Forward-Center,2018-19,akron,716,172,9.4,.433,.615,.455,.318,51,16,47,14.7,0.0,121,8,29,1.6
jeremy-roscoe-1,jeremy-roscoe-1,Jeremy Roscoe,6-2,190lb,Guard,2018-19,akron,345,63,10.3,.348,.917,.385,.333,9,16,15,16.3,0.2,54,8,3,0.8
emmanuel-olojakpoke-1,emmanuel-olojakpoke-1,Emmanuel Olojakpoke,6-8,190lb,Forward,2018-19,akron,321,54,8.3,.590,.294,.590,,22,1,20,10.7,-0.1,32,8,26,0.8
jaden-sayles-1,jaden-sayles-1,Jaden Sayles,6-9,235lb,Forward,2018-19,akron,261,55,9.2,.514,.545,.514,,19,0,10,10.9,0.1,36,1,10,0.5
mark-kostelac-1,mark-kostelac-1,Mark Kostelac,6-11,250lb,Center,2018-19,akron,39,9,18.2,.625,.750,.625,,4,1,2,15.6,0.1,5,1,2,0.1
scott-walter-1,scott-walter-1,Scott Walter,5-10,170lb,Guard,2018-19,akron,65,11,-0.9,.400,.500,.400,,2,1,6,10.9,-0.1,9,0,0,0.1
lepear-toles-1,lepear-toles-1,LePear Toles,6-6,195lb,Guard,2018-19,akron,27,4,6.7,.500,.400,.500,,0,2,3,14.0,0.0,4,2,1,0.1
jake-fischer-1,jake-fischer-1,Jake Fischer,6-4,180lb,Guard,2018-19,akron,5,0,2.1,.333,,,.333,0,0,1,40.9,0.0,0,0,0,0.0
marquelle-mcintyre-1,marquelle-mcintyre-1,Marquelle McIntyre,5-10,175lb,Guard,2018-19,akron,10,1,10.7,.000,.500,.000,,0,1,0,10.0,0.0,1,1,0,0.0
andre-kennedy-1,andre-kennedy-1,Andre Kennedy,6-7,206lb,Forward,2018-19,alabama-am,901,192,16.8,.487,.681,.495,.125,66,30,71,26.1,0.6,126,22,20,1.0
jalen-reeder-1,jalen-reeder-1,Jalen Reeder,6-5,181lb,Guard,2018-19,alabama-am,701,94,11.3,.405,.611,.475,.307,24,30,51,23.4,0.0,70,19,3,0.6
gerron-scissum-1,gerron-scissum-1,Gerron Scissum,6-8,210lb,Guard-Forward,2018-19,alabama-am,684,143,10.0,.422,.655,.446,.200,51,31,63,22.1,-0.5,92,15,14,0.7
brandon-miller-56,brandon-miller-56,Brandon Miller,6-0,170lb,Guard,2018-19,alabama-am,1106,116,8.5,.321,.778,.301,.343,20,131,76,14.6,-0.3,96,48,1,1.1
tre-todd-1,tre-todd-1,Tre Todd,5-11,155lb,Guard,2018-19,alabama-am,544,36,10.3,.420,.667,.475,.385,9,27,55,22.4,0.1,27,21,1,0.4
evan-wiley-2,evan-wiley-2,Evan Wiley,6-6,210lb,Forward,2018-19,alabama-am,593,75,8.8,.373,.750,.398,.349,24,24,31,17.6,0.0,51,19,3,0.5
arthur-johnson-3,arthur-johnson-3,Arthur Johnson,6-2,195lb,Guard,2018-19,alabama-am,367,56,10.7,.382,.535,.463,.274,15,18,37,28.3,-0.4,41,19,0,0.5
walter-jonesjr-2,walter-jonesjr-2,Walter Jones Jr.,6-5,180lb,Guard,2018-19,alabama-am,637,90,6.2,.350,.480,.415,.254,17,36,43,17.2,-0.7,73,33,5,0.8
brandon-houston-1,brandon-houston-1,Brandon Houston,6-7,267lb,Forward,2018-19,alabama-am,190,15,10.3,.446,.800,.490,.143,2,9,7,19.0,0.2,13,3,0,0.1
brandon-wright-1,brandon-wright-1,Brandon Wright,6-2,185lb,Guard,2018-19,alabama-am,307,39,8.0,.400,.474,.444,.286,13,28,20,13.3,-0.1,26,12,1,0.3
amari-goulbourne-1,amari-goulbourne-1,Amari Goulbourne,5-9,165lb,Guard,2018-19,alabama-am,172,19,9.1,.387,.462,.385,.389,4,18,15,15.6,-0.1,15,10,0,0.2
shaquille-seville-1,shaquille-seville-1,Shaquille Seville,6-9,262lb,Forward,2018-19,alabama-am,117,28,10.6,.548,.273,.548,,9,0,7,19.1,0.0,19,3,2,0.2
brandon-powell-13,brandon-powell-13,Brandon Powell,6-2,202lb,Guard,2018-19,alabama-am,155,16,5.6,.375,.500,.462,.000,7,3,6,8.9,-0.1,9,10,0,0.2
dennis-stallingsjr-1,dennis-stallingsjr-1,Dennis Stallings Jr.,6-1,182lb,Guard,2018-19,alabama-am,2,0,0.0,,,,,0,0,0,0.0,0.0,0,0,0,0.0
zack-bryant-1,zack-bryant-1,Zack Bryant,6-2,183lb,Guard,2018-19,alabama-birmingham,1136,119,19.9,.435,.681,.502,.320,17,134,77,25.7,2.3,102,62,13,1.7
lewis-sullivan-1,lewis-sullivan-1,Lewis Sullivan,6-7,231lb,Forward,2018-19,alabama-birmingham,948,238,23.9,.531,.697,.569,.385,77,34,37,22.0,3.1,161,29,14,1.5
jalen-perry-1,jalen-perry-1,Jalen Perry,6-3,197lb,Guard,2018-19,alabama-birmingham,1042,140,14.5,.408,.600,.458,.365,20,52,45,21.0,1.5,120,29,1,1.3
makhtar-gueye-1,makhtar-gueye-1,Makhtar Gueye,6-10,200lb,Forward,2018-19,alabama-birmingham,942,234,15.6,.455,.732,.528,.258,82,28,50,18.0,1.3,152,19,24,1.4
jeremiah-bell-1,jeremiah-bell-1,Jeremiah Bell,6-1,180lb,Guard,2018-19,alabama-birmingham,911,84,10.8,.394,.667,.464,.336,9,67,45,17.9,0.9,75,19,3,0.9
tavin-lovan-1,tavin-lovan-1,Tavin Lovan,6-4,196lb,Guard,2018-19,alabama-birmingham,682,130,17.6,.532,.635,.547,.333,54,26,40,19.0,1.2,76,27,7,1.0
tyreek-scott-grayson-1,tyreek-scott-grayson-1,Tyreek Scott-Grayson,6-5,170lb,Guard,2018-19,alabama-birmingham,583,81,12.2,.405,.773,.463,.338,16,39,45,19.6,0.4,65,19,10,0.8
will-butler-1,will-butler-1,Will Butler,6-8,255lb,Forward,2018-19,alabama-birmingham,374,97,16.8,.595,.613,.595,,32,7,16,15.3,0.7,65,7,6,0.5
tamell-pearson-1,tamell-pearson-1,Tamell Pearson,6-10,212lb,Forward,2018-19,alabama-birmingham,214,29,-0.2,.265,.600,.290,.000,7,7,13,12.6,-0.3,22,4,3,0.2
anderson-mccoy-1,anderson-mccoy-1,Anderson McCoy,5-11,171lb,Guard,2018-19,alabama-birmingham,127,10,1.2,.364,1.000,.500,.333,1,4,7,8.2,0.0,9,0,0,0.1
wil-bathurst-1,wil-bathurst-1,Wil Bathurst,6-3,188lb,Guard,2018-19,alabama-birmingham,50,5,4.6,.333,.400,.250,.500,1,2,2,10.8,0.0,4,1,1,0.1
nolan-bertain-1,nolan-bertain-1,Nolan Bertain,6-4,188lb,Guard,2018-19,alabama-birmingham,21,1,16.1,.500,,,.500,0,1,0,9.9,0.1,1,1,0,0.0
luis-hurtado-1,luis-hurtado-1,Luis Hurtado,6-6,210lb,Guard,2018-19,alabama-birmingham,17,1,2.2,1.000,,1.000,,0,0,3,15.4,0.0,1,1,0,0.0
joshua-sippial-1,joshua-sippial-1,Joshua Sippial,6-0,165lb,Guard,2018-19,alabama-birmingham,3,0,0.0,,,,,0,0,0,0.0,0.0,0,0,0,0.0
reginald-gee-1,reginald-gee-1,Reginald Gee,6-3,175lb,Guard,2018-19,alabama-state,901,128,13.8,.392,.744,.392,.392,28,34,68,24.2,0.9,100,18,8,0.9
jacoby-ross-1,jacoby-ross-1,Jacoby Ross,5-9,165lb,Guard,2018-19,alabama-state,981,83,11.2,.340,.835,.347,.333,17,72,74,24.4,0.5,66,27,1,0.9
leon-freeman-daniels-1,leon-freeman-daniels-1,Leon Freeman-Daniels,6-4,175lb,Guard,2018-19,alabama-state,749,113,15.7,.394,.714,.404,.385,33,28,34,19.6,1.3,80,29,7,0.9
tobi-ewuosho-1,tobi-ewuosho-1,Tobi Ewuosho,6-5,175lb,Guard,2018-19,alabama-state,661,133,13.5,.406,.664,.452,.206,46,20,53,21.1,0.2,87,36,11,1.0
aj-farrar-1,aj-farrar-1,AJ Farrar,6-5,220lb,Guard,2018-19,alabama-state,328,106,29.7,.603,.630,.686,.367,35,7,12,22.5,1.3,71,9,10,0.6
fausto-pichardo-1,fausto-pichardo-1,Fausto Pichardo,6-8,215lb,Forward,2018-19,alabama-state,555,111,15.1,.647,.521,.644,1.000,49,16,50,16.5,0.5,62,18,28,0.8
branden-johnson-2,branden-johnson-2,Branden Johnson,6-8,205lb,Forward-Center,2018-19,alabama-state,525,114,13.7,.624,.386,.624,,46,3,20,13.0,0.6,68,7,19,0.6
kevin-holston-1,kevin-holston-1,Kevin Holston,6-1,180lb,Guard,2018-19,alabama-state,548,70,2.8,.239,.548,.296,.164,17,73,63,19.7,-1.4,53,30,1,0.7
edward-jones-1,edward-jones-1,Ed Jones,6-8,205lb,Forward,2018-19,alabama-state,264,21,5.3,.333,.643,.393,.243,10,4,12,20.8,-0.2,11,6,8,0.2
gene-davis-1,gene-davis-1,Gene Davis,6-1,180lb,Guard,2018-19,alabama-state,264,27,5.8,.400,.813,.429,.381,7,32,28,13.2,0.0,20,2,0,0.2
austin-rogers-1,austin-rogers-1,Austin Rogers,6-4,180lb,Guard,2018-19,alabama-state,279,30,5.8,.327,.357,.421,.071,11,14,11,12.3,-0.2,19,12,4,0.3
azariah-seay-1,azariah-seay-1,Azariah Seay,6-4,175lb,Guard,2018-19,alabama-state,127,17,7.3,.293,.571,.353,.250,8,8,7,19.9,-0.1,9,6,1,0.2
therrell-gosierii-1,therrell-gosierii-1,Therrell Gosier II,6-7,225lb,Forward,2018-19,alabama-state,68,15,7.8,.500,.667,.714,.200,5,2,11,17.7,-0.1,10,3,4,0.1
kira-lewisjr-1,kira-lewisjr-1,Kira Lewis Jr.,6-3,167lb,Guard,2018-19,alabama,1075,87,15.6,.433,.783,.486,.358,13,98,74,22.6,2.0,74,28,10,1.0
donta-hall-1,donta-hall-1,Donta Hall,6-9,230lb,Forward,2018-19,alabama,912,298,24.7,.616,.718,.614,1.000,92,18,37,16.9,2.8,206,16,56,1.6
john-petty-2,john-petty-2,John Petty,6-5,197lb,Guard,2018-19,alabama,969,144,13.4,.413,.707,.513,.345,25,64,68,19.9,1.1,119,17,15,1.1
tevin-mack-1,tevin-mack-1,Tevin Mack,6-6,225lb,Guard,2018-19,alabama,699,113,14.0,.417,.560,.508,.333,30,28,48,24.6,0.6,83,11,16,0.8
dazon-ingram-1,dazon-ingram-1,Dazon Ingram,6-5,210lb,Guard,2018-19,alabama,710,121,13.5,.453,.710,.481,.381,27,82,64,18.3,1.0,94,17,4,0.9
herb-jones-3,herb-jones-3,Herb Jones,6-7,206lb,Forward-Guard,2018-19,alabama,719,119,11.3,.422,.495,.440,.286,38,67,67,20.9,-0.1,81,32,20,1.1
alex-reese-1,alex-reese-1,Alex Reese,6-9,238lb,Forward,2018-19,alabama,372,71,18.5,.403,.755,.433,.375,25,13,25,24.9,0.7,46,10,12,0.5
riley-norris-1,riley-norris-1,Riley Norris,6-7,212lb,Guard,2018-19,alabama,518,98,14.8,.397,.756,.489,.345,32,18,14,15.7,1.1,66,15,4,0.6
galin-smith-1,galin-smith-1,Galin Smith,6-9,245lb,Forward,2018-19,alabama,404,66,8.4,.522,.444,.522,,29,3,32,17.5,-0.1,37,3,14,0.4
avery-johnson-3,avery-johnson-3,Avery Johnson,5-11,187lb,Guard,2018-19,alabama,310,25,4.9,.301,.900,.391,.148,4,21,9,13.8,-0.1,21,7,0,0.3
daniel-giddens-1,daniel-giddens-1,Daniel Giddens,6-11,247lb,Forward-Center,2018-19,alabama,115,26,5.2,.357,.389,.370,.000,13,6,12,20.9,-0.2,13,0,7,0.1
tyler-barnes-1,tyler-barnes-1,Tyler Barnes,6-8,205lb,Forward,2018-19,alabama,4,0,-11.3,.000,,.000,,0,0,0,24.7,0.0,0,0,1,0.0
britton-johnson-1,britton-johnson-1,Britton Johnson,6-4,182lb,Guard,2018-19,alabama,3,1,20.5,,,,,0,0,0,0.0,0.0,1,0,1,0.0
lawson-schaffer-1,lawson-schaffer-1,Lawson Schaffer,5-11,168lb,Guard,2018-19,alabama,15,1,-19.1,.000,,.000,.000,0,0,1,23.1,-0.1,1,1,0,0.0
cameron-healy-1,cameron-healy-1,Cameron Healy,6-3,190lb,Guard,2018-19,albany-ny,1103,121,17.3,.422,.884,.437,.414,11,78,70,24.0,2.4,110,22,3,1.1
ahmad-clark-1,ahmad-clark-1,Ahmad Clark,6-1,175lb,Guard,2018-19,albany-ny,984,136,18.5,.371,.783,.416,.314,15,137,114,32.9,1.0,121,63,12,1.7
adam-lulka-1,adam-lulka-1,Adam Lulka,6-8,245lb,Forward,2018-19,albany-ny,966,204,14.4,.555,.681,.613,.289,76,37,57,15.8,1.3,128,15,16,1.1
devonte-campbell-1,devonte-campbell-1,Devonte Campbell,6-6,235lb,Forward,2018-19,albany-ny,895,152,12.1,.388,.731,.397,.373,48,30,38,16.3,1.0,104,26,5,1.1
antonio-rizzuto-1,antonio-rizzuto-1,Antonio Rizzuto,6-3,195lb,Guard,2018-19,albany-ny,666,59,11.2,.356,.648,.356,.357,9,38,27,19.0,0.7,50,16,4,0.6
kendall-lauderdale-1,kendall-lauderdale-1,Kendall Lauderdale,6-8,245lb,Forward,2018-19,albany-ny,367,78,13.8,.542,.857,.542,,21,3,20,16.7,0.4,57,9,6,0.5
malachi-desousa-1,malachi-desousa-1,Malachi De Sousa,6-6,200lb,Guard-Forward,2018-19,albany-ny,356,52,12.2,.455,.656,.592,.214,11,16,25,17.3,0.1,41,10,19,0.5
rayshawn-miller-1,rayshawn-miller-1,Rayshawn Miller,6-1,190lb,Guard,2018-19,albany-ny,454,45,6.1,.333,.500,.382,.293,6,38,28,12.5,-0.3,39,20,1,0.5
brent-hank-1,brent-hank-1,Brent Hank,6-10,265lb,Forward,2018-19,albany-ny,438,102,7.8,.512,.483,.512,,42,13,29,10.1,0.0,60,14,7,0.6
sasha-french-1,sasha-french-1,Sasha French,6-11,235lb,Forward,2018-19,albany-ny,125,27,6.7,.478,.727,.478,,12,3,14,17.8,-0.1,15,0,5,0.1
reece-brooks-1,reece-brooks-1,Reece Brooks,5-9,150lb,Guard,2018-19,albany-ny,92,6,-5.2,.200,.833,.429,.130,2,5,10,24.5,-0.3,4,0,0,0.0
philip-flory-1,philip-flory-1,Philip Flory,6-5,190lb,Guard,2018-19,albany-ny,46,5,-0.2,.143,1.000,.000,.200,0,4,3,12.5,-0.1,5,0,0,0.0
nick-fruscio-1,nick-fruscio-1,Nick Fruscio,5-10,170lb,Guard,2018-19,albany-ny,8,0,-3.0,.333,,.500,.000,0,0,0,19.7,0.0,0,0,0,0.0
maurice-howard-1,maurice-howard-1,Maurice Howard,6-1,190lb,Guard,2018-19,alcorn-state,1129,102,13.2,.424,.896,.462,.406,13,108,108,21.0,1.1,89,36,2,1.0
reginald-johnson-1,reginald-johnson-1,Reginald Johnson,6-5,250lb,Forward,2018-19,alcorn-state,634,109,17.0,.401,.622,.466,.302,47,26,32,29.0,0.9,62,15,5,0.6
troymain-crosby-1,troymain-crosby-1,Troymain Crosby,6-4,180lb,Guard,2018-19,alcorn-state,766,138,13.1,.386,.781,.416,.182,49,79,93,27.0,-0.1,89,32,13,1.0
deshaw-andrews-1,deshaw-andrews-1,DeShaw Andrews,6-4,240lb,Forward,2018-19,alcorn-state,576,138,18.1,.407,.651,.469,.327,32,28,47,27.3,0.5,106,42,3,1.1
devon-brewer-1,devon-brewer-1,Devon Brewer,6-8,260lb,Forward,2018-19,alcorn-state,629,140,12.8,.481,.514,.485,.000,41,23,36,16.0,0.2,99,15,36,0.9
jael-scott-1,jael-scott-1,Jael Scott,6-4,195lb,Guard,2018-19,alcorn-state,722,101,9.4,.478,.500,.500,.273,38,58,51,12.6,0.0,63,31,8,0.8
khari-jabrielallen-1,khari-jabrielallen-1,Khari Jabriel Allen,6-4,180lb,Guard,2018-19,alcorn-state,512,38,2.6,.264,.824,.350,.231,10,26,42,19.9,-0.7,28,11,3,0.4
alonzo-campbell-1,alonzo-campbell-1,Alonzo Campbell,7-0,235lb,Center-Forward,2018-19,alcorn-state,297,46,10.8,.524,.625,.541,.000,19,2,18,16.3,0.2,27,6,14,0.3
kobe-wilson-1,kobe-wilson-1,Kobe Wilson,6-9,220lb,Forward,2018-19,alcorn-state,395,109,11.8,.452,.538,.593,.200,34,19,23,9.1,0.0,75,17,14,0.7
jonathan-floyd-1,jonathan-floyd-1,Jonathan Floyd,5-10,155lb,Guard,2018-19,alcorn-state,61,7,24.5,.571,.667,.750,.500,3,6,2,14.4,0.2,4,5,0,0.1
harold-givens-1,harold-givens-1,Harold Givens,6-7,200lb,Forward,2018-19,alcorn-state,163,29,11.0,.579,.250,.579,,9,7,8,8.9,0.0,20,7,6,0.2
noah-plain-1,noah-plain-1,Noah Plain,6-8,200lb,Forward,2018-19,alcorn-state,84,10,9.2,.529,.833,.600,.000,4,0,3,13.7,0.1,6,0,2,0.1
david-robinson-7,david-robinson-7,David Robinson,5-10,160lb,Guard,2018-19,alcorn-state,35,5,18.7,.400,.750,.500,.000,5,3,3,21.5,0.0,0,4,0,0.1
tyquayion-smith-1,tyquayion-smith-1,TyQuayion Smith,6-8,200lb,Forward,2018-19,alcorn-state,99,15,2.2,.125,.444,.083,.250,5,1,4,12.4,-0.2,10,6,1,0.1
saeed-nelson-1,saeed-nelson-1,Sa'eed Nelson,6-2,190lb,Guard,2018-19,american,1095,167,26.1,.508,.718,.562,.306,29,155,109,29.7,3.3,138,71,16,1.9
sam-iorio-2,sam-iorio-2,Sam Iorio,6-6,230lb,Forward,2018-19,american,1006,176,17.3,.421,.821,.529,.348,31,54,35,18.9,1.9,145,28,24,1.4
stacy-beckton-1,stacy-beckton-1,Stacy Beckton,6-4,186lb,Guard,2018-19,american,826,132,18.1,.500,.734,.619,.358,28,30,48,18.8,1.4,104,41,36,1.5
mark-gasperini-1,mark-gasperini-1,Mark Gasperini,6-10,245lb,Forward,2018-19,american,729,133,16.3,.502,.578,.512,.143,44,64,56,24.3,0.8,89,18,14,0.9
laurynas-motuzis-1,laurynas-motuzis-1,Laurynas Motuzis,6-6,205lb,Guard,2018-19,american,813,102,11.8,.468,.652,.623,.321,22,27,22,13.1,1.1,80,20,15,1.0
jacob-boonyasith-1,jacob-boonyasith-1,Jacob Boonyasith,6-3,215lb,Guard,2018-19,american,493,47,9.6,.425,.636,.538,.365,2,23,22,15.6,0.4,45,10,9,0.6
josh-alexander-2,josh-alexander-2,Josh Alexander,6-8,243lb,Forward,2018-19,american,334,63,14.9,.531,.708,.539,.400,24,13,27,20.7,0.5,39,5,7,0.4
marvin-bragg-1,marvin-bragg-1,Marvin Bragg,6-6,195lb,Guard,2018-19,american,461,50,8.7,.382,.750,.581,.244,10,24,20,12.3,0.2,40,14,8,0.6
yilret-yiljep-1,yilret-yiljep-1,Yilret Yiljep,6-7,250lb,Forward,2018-19,american,192,37,5.2,.500,.526,.480,1.000,7,7,20,15.1,-0.2,30,7,2,0.3
cheikh-diallo-1,cheikh-diallo-1,Cheikh Diallo,6-1,175lb,Guard,2018-19,american,122,11,2.8,.393,.000,.688,.000,1,4,10,16.7,-0.3,10,6,0,0.2
jesse-little-1,jesse-little-1,Jesse Little,6-10,204lb,Forward,2018-19,american,18,4,18.8,.800,.000,.800,,2,1,2,21.9,0.0,2,0,0,0.0
christian-sutton-1,christian-sutton-1,Christian Sutton,6-3,193lb,Guard,2018-19,american,3,1,-25.6,,.500,,,0,0,2,51.9,0.0,1,0,0,0.0
matt-cimino-1,matt-cimino-1,Matt Cimino,6-10,212lb,Forward,2018-19,american,6,1,13.3,,,,,0,0,0,0.0,0.0,1,1,0,0.0
justin-perez-1,justin-perez-1,Justin Perez,6-1,165lb,Guard,2018-19,american,3,1,-25.4,.000,,.000,.000,0,0,0,35.2,0.0,1,0,0,0.0
ronshad-shabazz-1,ronshad-shabazz-1,Ronshad Shabazz,6-5,217lb,Guard,2018-19,appalachian-state,1030,105,19.2,.441,.815,.496,.376,19,75,72,27.5,2.5,86,25,2,0.6
justin-forrest-1,justin-forrest-1,Justin Forrest,6-2,195lb,Guard,2018-19,appalachian-state,870,99,18.0,.407,.724,.448,.362,16,74,82,29.3,1.5,83,37,0,0.7
isaac-johnson-1,isaac-johnson-1,Isaac Johnson,6-9,212lb,Forward,2018-19,appalachian-state,838,266,18.9,.512,.672,.580,.152,73,62,63,19.2,1.7,193,25,14,1.0
tyrell-johnson-1,tyrell-johnson-1,Tyrell Johnson,6-8,205lb,Forward,2018-19,appalachian-state,628,127,18.1,.484,.731,.560,.283,36,20,28,21.3,1.3,91,11,28,0.6
adrian-delph-1,adrian-delph-1,Adrian Delph,6-3,185lb,Guard,2018-19,appalachian-state,614,89,13.7,.449,.656,.557,.368,24,25,33,18.2,0.9,65,17,8,0.5
